% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
33208	1	1	1	2	0	28	6594	0	1	1	0
33208	1	1	1	2	1	28	6594	0	1	1	0
33209	1	1	1	2	0	28	6594	0	1	1	0
33209	1	1	1	2	1	28	6594	0	1	1	0
33210	1	1	1	2	0	28	6594	0	1	1	0
33210	1	1	1	2	1	28	6594	0	1	1	0
33211	1	1	1	2	0	28	6594	0	1	1	0
33211	1	1	1	2	1	28	6594	0	1	1	0
33212	1	1	1	2	0	28	6594	0	1	1	0
33212	1	1	1	2	1	28	6594	0	1	1	0
33213	1	1	1	2	0	28	6594	0	1	1	0
33213	1	1	1	2	1	28	6594	0	1	1	0
33214	1	1	1	2	0	28	6594	0	1	1	0
33214	1	1	1	2	1	28	6594	0	1	1	0
33215	1	1	1	2	0	28	6594	0	1	1	0
33215	1	1	1	2	1	28	6594	0	1	1	0
33216	1	1	1	2	0	28	6594	0	1	1	0
33216	1	1	1	2	1	28	6594	0	1	1	0
33217	1	1	1	2	0	28	6594	0	1	1	0
33217	1	1	1	2	1	28	6594	0	1	1	0
33218	1	1	1	2	0	28	6594	0	1	1	0
33218	1	1	1	2	1	28	6594	0	1	1	0
33219	1	1	1	2	0	28	6594	0	1	1	0
33219	1	1	1	2	1	28	6594	0	1	1	0
33220	1	1	1	2	0	28	6594	0	1	1	0
33220	1	1	1	2	1	28	6594	0	1	1	0
33221	1	1	1	2	0	28	6594	0	1	1	0
33221	1	1	1	2	1	28	6594	0	1	1	0
33222	1	1	1	2	0	28	6594	0	1	1	0
33222	1	1	1	2	1	28	6594	0	1	1	0
33223	1	1	1	2	0	28	6594	0	1	1	0
33223	1	1	1	2	1	28	6594	0	1	1	0
33224	1	1	1	2	0	28	6594	0	1	1	0
33224	1	1	1	2	1	28	6594	0	1	1	0
33225	1	1	1	2	0	28	6594	0	1	1	0
33225	1	1	1	2	1	28	6594	0	1	1	0
33226	1	1	1	2	0	28	6594	0	1	1	0
33226	1	1	1	2	1	28	6594	0	1	1	0
33227	1	1	1	2	0	28	6594	0	1	1	0
33227	1	1	1	2	1	28	6594	0	1	1	0
33228	1	1	1	2	0	28	6594	0	1	1	0
33228	1	1	1	2	1	28	6594	0	1	1	0
33229	1	1	1	2	0	28	6594	0	1	1	0
33229	1	1	1	2	1	28	6594	0	1	1	0
33230	1	1	1	2	0	28	6594	0	1	1	0
33230	1	1	1	2	1	28	6594	0	1	1	0
33231	1	1	1	2	0	28	6594	0	1	1	0
33231	1	1	1	2	1	28	6594	0	1	1	0
33232	1	1	1	2	0	28	6594	0	1	1	0
33232	1	1	1	2	1	28	6594	0	1	1	0
33233	1	1	1	2	0	28	6594	0	1	1	0
33233	1	1	1	2	1	28	6594	0	1	1	0
33234	1	1	1	2	0	28	6594	0	1	1	0
33234	1	1	1	2	1	28	6594	0	1	1	0
33235	1	1	1	2	0	28	6594	0	1	1	0
33235	1	1	1	2	1	28	6594	0	1	1	0
33236	1	1	1	2	0	28	6594	0	1	1	0
33236	1	1	1	2	1	28	6594	0	1	1	0
33237	1	1	1	2	0	28	6594	0	1	1	0
33237	1	1	1	2	1	28	6594	0	1	1	0
33238	1	1	1	2	0	28	6594	0	1	1	0
33238	1	1	1	2	1	28	6594	0	1	1	0
33239	1	1	1	2	0	28	6594	0	1	1	0
33239	1	1	1	2	1	28	6594	0	1	1	0
33240	1	1	1	2	0	28	6594	0	1	1	0
33240	1	1	1	2	1	28	6594	0	1	1	0
33241	1	1	1	2	0	28	6594	0	1	1	0
33241	1	1	1	2	1	28	6594	0	1	1	0
33242	1	1	1	2	0	24	4904	0	1	1	0
33242	1	1	1	2	1	24	4904	0	1	1	0
33243	1	1	1	2	0	24	4904	0	1	1	0
